201103	32226	BIOL	175	1	N	Genomic Circuitry	BIOL 075 01	10	310	Gilman Hall	Albert Erives	 	 	 	5	 
201103	32227	BIOL	176	1	N	Advanced Genetics	BIOL 076 01	3A	310	Gilman Hall	Edward Berger	 	 	 	10	 
201103	30122	BIOL	197	1	N	Graduate Research I:Level I	 	AR	 	 	Thomas Jack	 	 	 	11	 
201103	30123	BIOL	198	1	N	Grad Research I:Level II	 	AR	 	 	Thomas Jack	 	 	 	7	 
201103	30124	BIOL	199	1	N	Grad Research I:Level III	 	AR	 	 	Thomas Jack	 	 	 	2	 
201103	32230	BIOL	262	1	N	Mechanisms of Evolution & Dev(Discussion)	 	AR	 	 	Albert Erives	 	 	 	0	 
201103	30182	BIOL	266	1	N	Res Colloq:Ecology & Evolution	 	Tu 12:00 PM-1:00 PM  	8	Steele Hall	Andrew Kern	 	 	 	20	 
201103	30183	BIOL	268	1	N	Res Colloq:Genes&Gene Products	 	AR	 	 	Amy Gladfelter	 	 	 	14	 
201103	30125	BIOL	269	1	N	Res Colloq:Plant Molecular Bio	 	AR	 	 	C Robertson McClung	 	 	 	7	 
201103	30426	BIOL	270	1	N	Res Colloq:Computational Biol	 	M 12:00 PM-1:30 PM  	310	Gilman Hall	Robert Gross	 	 	 	5	 
201103	30674	BIOL	271	1	N	Res Progess Colloquium	 	AR	 	 	Thomas Jack	 	 	 	25	 
201103	30126	BIOL	297	1	N	Grad Research II:Level I	 	AR	 	 	Thomas Jack	 	 	 	1	 
201103	30127	BIOL	298	1	N	Grad Research II:Level II	 	AR	 	 	Thomas Jack	 	 	 	17	 
201103	30128	BIOL	299	1	N	Grad Research II:Level III	 	AR	 	 	Thomas Jack	 	 	 	4	 
201103	30195	CHEM	6	1	N	General Chemistry	 	9L	6	Steele Hall	David Glueck	 	SLA	160	110	IP
201103	30501	CHEM	6	2	N	General Chemistry	 	10	6	Steele Hall	Robert Cantor	 	SLA	160	131	IP
201103	30652	CHEM	6	3	N	General Chemistry(Laboratory)	 	M 2:00 PM-2:59 PM
M 3:00 PM-6:00 PM  	006
303	Steele Hall
Steele Hall	Siobhan Milde	 	 	64	61	IP
201103	30653	CHEM	6	4	N	General Chemistry(Laboratory)	 	Tu 8:00 AM-8:59 AM
Tu 9:00 AM-11:59 AM  	006
303	Steele Hall
Steele Hall	Siobhan Milde	 	 	64	59	IP
201103	30654	CHEM	6	5	N	General Chemistry(Laboratory)	 	Tu 2:00 PM-2:59 PM
Tu 3:00 PM-6:00 PM  	006
303	Steele Hall
Steele Hall	Siobhan Milde	 	 	64	56	IP
201103	30655	CHEM	6	6	N	General Chemistry(Laboratory)	 	W 2:00 PM-2:59 PM
W 3:00 PM-6:00 PM  	006
303	Steele Hall
Steele Hall	Siobhan Milde	 	 	64	23	IP
201103	30656	CHEM	6	7	N	General Chemistry(Laboratory)	 	Th 2:00 PM-2:59 PM
Th 3:00 PM-6:00 PM  	006
303	Steele Hall
Steele Hall	Siobhan Milde	 	 	64	43	IP
201103	30204	CHEM	41	1	N	Biological Chemistry	 	12	7	Steele Hall	F Jon Kull	 	SLA	 	42	IP
201103	30213	CHEM	41	2	N	Biological Chemistry(Laboratory)	 	M 2:00 PM-6:00 PM  	308	Steele Hall	F Jon Kull	 	 	 	17	IP
201103	30214	CHEM	41	3	N	Biological Chemistry(Laboratory)	 	Tu 2:00 PM-6:00 PM  	308	Steele Hall	F Jon Kull	 	 	 	8	IP
201103	30657	CHEM	41	4	N	Biological Chemistry(Laboratory)	 	W 2:00 PM-6:00 PM  	308	Steele Hall	F Jon Kull	 	 	 	7	IP
201103	32238	CHEM	41	5	N	Biological Chemistry(Laboratory)	 	Th 2:00 PM-6:00 PM  	308	Steele Hall	F Jon Kull	 	 	 	9	IP
201103	30011	CHEM	51	1	N	Organic Chemistry	 	11	6	Steele Hall	Ivan Abrahamian	 	SLA	80	62	IP
201103	30170	CHEM	51	2	N	Organic Chemistry(Laboratory)	 	Tu 2:00 PM-2:59 PM
Tu 3:00 PM-8:00 PM  	007
110	Steele Hall
